6/17/2018 4:50:44 PM		FEED MONEY		$1		$1
6/17/2018 4:50:47 PM		FEED MONEY		$5		$6
6/17/2018 4:50:49 PM		FEED MONEY		$7		$13
6/17/2018 4:50:59 PM		Potato CrispsA1		$9.95		$6.9
6/17/2018 4:51:04 PM		StackersA2		$8.5		$7.05
6/17/2018 4:51:09 PM		Grain WavesA3		$5.75		$3
6/17/2018 4:51:13 PM		Cloud PopcornA4		$2.1		$-1.55
6/17/2018 4:51:16 PM		MoonpieB1		$0.3		$-1.5
6/17/2018 4:51:27 PM		FEED MONEY		$50		$50.3
6/17/2018 4:51:37 PM		MoonpieB1		$48.5		$46.7
6/17/2018 4:51:40 PM		CowtalesB2		$47		$45.5
6/17/2018 4:51:43 PM		Wonka BarB3		$45.5		$44
6/17/2018 4:51:48 PM		CrunchieB4		$43.75		$42
6/17/2018 4:51:52 PM		ColaC1		$42.5		$41.25
6/17/2018 4:51:55 PM		Dr. SaltC2		$41		$39.5
6/17/2018 4:51:57 PM		Mountain MelterC3		$39.5		$38
6/17/2018 4:52:00 PM		HeavyC4		$38		$36.5
6/17/2018 4:52:02 PM		HeavyC4		$36.5		$35
6/17/2018 4:52:06 PM		U-ChewsD1		$35.65		$34.8
6/17/2018 4:52:08 PM		Little League ChewD2		$34.7		$33.75
6/17/2018 4:52:11 PM		Little League ChewD2		$33.75		$32.8
6/17/2018 4:52:13 PM		ChicletsD3		$33		$32.25
6/17/2018 4:52:16 PM		TriplemintD4		$32.25		$31.5
6/17/2018 4:52:29 PM		GIVE CHANGE		$32.25		$0
6/18/2018 8:45:41 AM		FEED MONEY		$2		$2
6/18/2018 8:45:54 AM		Dr. SaltC2		$0.5		$-1
6/18/2018 8:47:00 AM		FEED MONEY		$2		$2
6/18/2018 8:47:46 AM		FEED MONEY		$2		$2
6/18/2018 8:48:14 AM		FEED MONEY		$2		$2
6/18/2018 8:50:18 AM		FEED MONEY		$2		$2
6/18/2018 8:50:34 AM		GIVE CHANGE		$2		$0
6/19/2018 9:01:31 AM		FEED MONEY		$5		$5
6/19/2018 9:01:35 AM		Potato CrispsA1		$5		$1.95
6/19/2018 9:01:43 AM		Potato CrispsA1		$5		$1.95
6/19/2018 9:01:54 AM		GIVE CHANGE		$5		$0
6/19/2018 9:02:22 AM		FEED MONEY		$5		$5
6/19/2018 9:02:25 AM		Potato CrispsA1		$1.95		$-1.1
6/19/2018 9:02:28 AM		GIVE CHANGE		$1.95		$0
6/19/2018 2:07:07 PM		FEED MONEY		$4		$4
6/19/2018 2:08:49 PM		FEED MONEY		$77		$37
6/19/2018 2:09:00 PM		FEED MONEY		$77		$114
6/19/2018 2:09:34 PM		GIVE CHANGE		$114		$0
6/19/2018 2:09:48 PM		FEED MONEY		$77		$77
6/19/2018 2:10:09 PM		FEED MONEY		$77		$77
6/19/2018 2:10:18 PM		FEED MONEY		$33		$110
6/19/2018 2:10:57 PM		MoonpieB1		$108.2		$106.4
6/19/2018 2:11:20 PM		Potato CrispsA1		$105.15		$102.1
6/19/2018 2:11:28 PM		Potato CrispsA1		$102.1		$99.05
6/19/2018 2:11:31 PM		Potato CrispsA1		$99.05		$96
6/19/2018 2:11:40 PM		Potato CrispsA1		$96		$92.95
6/19/2018 2:11:44 PM		Potato CrispsA1		$92.95		$89.9
6/19/2018 2:13:49 PM		GIVE CHANGE		$92.95		$0
6/19/2018 2:35:35 PM		FEED MONEY		$10		$10
6/19/2018 2:35:40 PM		Potato CrispsA1		$6.95		$3.9
6/19/2018 2:35:43 PM		GIVE CHANGE		$6.95		$0
6/19/2018 2:36:40 PM		FEED MONEY		$15		$15
6/19/2018 2:36:45 PM		StackersA2		$13.55		$12.1
6/19/2018 2:36:48 PM		GIVE CHANGE		$13.55		$0
6/19/2018 2:54:44 PM		FEED MONEY		$5		$5
6/19/2018 2:54:49 PM		TriplemintD4		$4.25		$3.5
6/19/2018 2:54:52 PM		GIVE CHANGE		$4.25		$0
6/19/2018 2:57:20 PM		FEED MONEY		$5		$5
6/19/2018 2:57:26 PM		Dr. SaltC2		$3.5		$2
6/19/2018 2:57:30 PM		GIVE CHANGE		$3.5		$0
6/19/2018 2:58:12 PM		GIVE CHANGE		$0		$0
6/19/2018 2:58:44 PM		GIVE CHANGE		$0		$0
6/19/2018 3:06:59 PM		FEED MONEY		$10		$10
6/19/2018 3:07:09 PM		CrunchieB4		$8.25		$6.5
6/19/2018 3:07:10 PM		GIVE CHANGE		$8.25		$0
6/19/2018 3:09:57 PM		FEED MONEY		$100		$100
6/19/2018 3:10:05 PM		Grain WavesA3		$97.25		$94.5
6/19/2018 3:10:09 PM		MoonpieB1		$95.45		$93.65
6/19/2018 3:10:12 PM		GIVE CHANGE		$95.45		$0
6/19/2018 3:20:22 PM		FEED MONEY		$5		$5
6/19/2018 3:20:43 PM		GIVE CHANGE		$5		$0
6/19/2018 4:40:39 PM		FEED MONEY		$5		$5
6/19/2018 4:40:53 PM		Potato CrispsA1		$1.95		$-1.1
6/19/2018 4:41:01 PM		CowtalesB2		$0.45		$-1.05
6/19/2018 4:41:10 PM		FEED MONEY		$5		$5.45
6/19/2018 4:41:14 PM		Mountain MelterC3		$3.95		$2.45
6/19/2018 4:41:22 PM		TriplemintD4		$3.2		$2.45
6/19/2018 4:41:28 PM		GIVE CHANGE		$3.2		$0
6/19/2018 5:01:59 PM		FEED MONEY		$5		$5
6/19/2018 5:02:07 PM		Potato CrispsA1		$1.95		$-1.1
6/19/2018 5:02:14 PM		StackersA2		$0.5		$-0.95
6/19/2018 5:03:08 PM		GIVE CHANGE		$0.5		$0
6/19/2018 5:10:50 PM		FEED MONEY		$5		$5
6/19/2018 5:10:53 PM		Potato CrispsA1		$1.95		$-1.1
6/19/2018 5:10:56 PM		HeavyC4		$0.45		$-1.05
6/19/2018 5:11:10 PM		GIVE CHANGE		$0.45		$0
6/19/2018 5:16:40 PM		GIVE CHANGE		$0		$0
